intent,keyword,jawaban
sapaan,assalamualaikum,"Wa'alaikumussalam. Ada yang bisa kami bantu terkait layanan kunjungan?|Wa'alaikumussalam. Silakan tanyakan informasi kunjungan yang Anda butuhkan."
sapaan,selamat pagi,"Selamat pagi! Ada yang bisa kami bantu?|Pagi, ada informasi kunjungan yang ingin ditanyakan?"
sapaan,selamat siang,"Selamat siang! Silakan jika ada pertanyaan terkait kunjungan.|Siang, ada yang bisa kami bantu?"
sapaan,selamat sore,"Selamat sore! Ada yang bisa kami bantu?|Sore, ada pertanyaan seputar kunjungan?"
sapaan,selamat malam,"Selamat malam! Ada yang bisa kami bantu?|Malam, ada informasi yang ingin ditanyakan?"
sapaan,default,"Halo! Selamat datang di PAS-Assistant.|Halo, ada yang bisa kami bantu terkait layanan kunjungan?|Selamat datang, silakan tanyakan informasi kunjungan Anda."
terima_kasih,default,"Sama-sama, senang bisa membantu.|Baik, sama-sama.|Dengan senang hati, semoga membantu."
cek_jadwal,buka,"Layanan kunjungan hari {hari} tersedia pukul {jam_mulai} sampai {jam_selesai}.|Ya, hari {hari} kunjungan dibuka dari {jam_mulai} hingga {jam_selesai}."
cek_jadwal,tutup,"Mohon maaf, hari {hari} tidak tersedia layanan kunjungan.|Hari {hari} layanan kunjungan tutup."
cara_pendaftaran,online,"Tentu, untuk pendaftaran online silakan masuk ke menu tab Daftar Kunjungan.|Ya, Anda dapat melakukan pendaftaran melalui tab Daftar Kunjungan.|Silakan pilih menu Daftar Kunjungan untuk memulai proses pendaftaran online.|Untuk registrasi online, silakan buka tab Daftar Kunjungan pada halaman utama."
cara_pendaftaran,offline,"Pendaftaran dapat dilakukan langsung di loket dengan membawa salah satu identitas resmi berupa SIM/KTP/KK.|Silakan datang ke loket pendaftaran untuk registrasi langsung dengan membawa KTP, KK, atau SIM."
cara_pendaftaran,default,"Baik, apakah Anda ingin daftar online atau langsung di tempat?|Silakan pilih metode pendaftaran yang diinginkan. Online atau offline?"
pendaftaran_awal,lebih awal,"Bisa, Anda dapat mendaftar kunjungan lebih awal sebelum hari kunjungan selama kuota masih tersedia.|Tentu bisa, silakan daftar lebih awal agar mendapatkan jadwal yang diinginkan.|Ya, pendaftaran kunjungan dapat dilakukan lebih awal sesuai slot yang tersedia.|Boleh, Anda dapat melakukan pendaftaran sebelum hari kunjungan.|Silakan daftar lebih awal agar kuota kunjungan tidak penuh."
pendaftaran_awal,minggu depan,"Bisa, Anda dapat mendaftar dari sekarang untuk jadwal kunjungan minggu depan selama kuota tersedia.|Tentu, pendaftaran untuk minggu depan dapat dilakukan lebih awal.|Silakan daftar dari sekarang agar jadwal minggu depan tetap tersedia.|Ya, Anda dapat memesan slot kunjungan minggu depan mulai sekarang.|Boleh, selama kuota kunjungan minggu depan masih tersedia."
pendaftaran_awal,hari H,"Tidak harus pada hari kunjungan, Anda dapat mendaftar beberapa hari sebelumnya.|Pendaftaran tidak perlu menunggu hari H, silakan daftar lebih awal.|Anda dapat melakukan pendaftaran sebelum hari kunjungan agar lebih nyaman.|Tidak harus daftar di hari yang sama, pendaftaran bisa dilakukan sebelumnya.|Silakan daftar lebih awal sesuai jadwal yang tersedia."
